Branch,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,Rating
B,Male,Fashion accessories,94.13,5,494.1825,2/25/2019,19:39,Credit card,4.8
B,Male,Sports and travel,78.07,9,737.7615,1/28/2019,12:43,Cash,4.5
B,Male,Sports and travel,83.78,8,703.752,1/10/2019,14:49,Cash,5.1
A,Male,Health and beauty,96.58,2,202.818,3/15/2019,10:12,Credit card,5.1
C,Female,Food and beverages,99.42,4,417.564,2/6/2019,10:42,Ewallet,7.5
C,Female,Sports and travel,68.12,1,71.526,1/7/2019,12:28,Ewallet,6.8
A,Male,Sports and travel,62.62,5,328.755,3/10/2019,19:15,Ewallet,7
A,Female,Electronic accessories,60.88,9,575.316,1/15/2019,17:17,Ewallet,4.7
C,Female,Health and beauty,54.92,8,461.328,3/23/2019,13:24,Ewallet,7.6
B,Male,Home and lifestyle,30.12,8,253.008,3/3/2019,13:01,Cash,7.7
B,Female,Home and lifestyle,86.72,1,91.056,1/17/2019,18:45,Ewallet,7.9
C,Male,Home and lifestyle,56.11,2,117.831,2/2/2019,10:11,Cash,6.3
B,Female,Sports and travel,69.12,6,435.456,2/8/2019,13:03,Cash,5.6
C,Female,Food and beverages,98.7,8,829.08,3/4/2019,20:39,Cash,7.6
C,Male,Health and beauty,15.37,2,32.277,3/16/2019,19:47,Cash,7.2
B,Female,Electronic accessories,93.96,4,394.632,3/9/2019,18:00,Cash,9.5
B,Male,Health and beauty,56.69,9,535.7205,2/27/2019,17:24,Credit card,8.4
B,Female,Food and beverages,20.01,9,189.0945,2/6/2019,15:47,Ewallet,4.1
B,Male,Electronic accessories,18.93,6,119.259,2/10/2019,12:45,Credit card,8.1
C,Female,Fashion accessories,82.63,10,867.615,3/19/2019,17:08,Ewallet,7.9
C,Male,Food and beverages,91.4,7,671.79,2/3/2019,10:19,Cash,9.5
A,Female,Food and beverages,44.59,5,234.0975,2/10/2019,15:10,Cash,8.5
B,Female,Fashion accessories,17.87,4,75.054,3/22/2019,14:42,Ewallet,6.5
C,Male,Fashion accessories,15.43,1,16.2015,1/25/2019,15:46,Credit card,6.1
B,Male,Home and lifestyle,16.16,2,33.936,3/7/2019,11:49,Ewallet,6.5
C,Female,Electronic accessories,85.98,8,722.232,2/28/2019,19:01,Cash,8.2
A,Male,Home and lifestyle,44.34,2,93.114,3/27/2019,11:26,Cash,5.8
A,Male,Health and beauty,89.6,8,752.64,2/7/2019,11:28,Ewallet,6.6
A,Female,Home and lifestyle,72.35,10,759.675,1/20/2019,15:55,Cash,5.4
C,Male,Electronic accessories,30.61,6,192.843,3/12/2019,20:36,Cash,9.3
C,Female,Sports and travel,24.74,3,77.931,2/15/2019,17:47,Credit card,10
C,Male,Home and lifestyle,55.73,6,351.099,2/24/2019,10:55,Ewallet,7
B,Female,Sports and travel,55.07,9,520.4115,2/3/2019,13:40,Ewallet,10
A,Male,Sports and travel,15.81,10,166.005,3/6/2019,12:27,Credit card,8.6
B,Male,Health and beauty,75.74,4,318.108,2/14/2019,14:35,Cash,7.6
A,Male,Health and beauty,15.87,10,166.635,3/13/2019,16:40,Cash,5.8
C,Female,Health and beauty,33.47,2,70.287,2/10/2019,15:43,Ewallet,6.7
B,Female,Fashion accessories,97.61,6,614.943,1/7/2019,15:01,Ewallet,9.9
A,Male,Sports and travel,78.77,10,827.085,1/24/2019,10:04,Cash,6.4
A,Female,Health and beauty,18.33,1,19.2465,2/2/2019,18:50,Cash,4.3
C,Male,Food and beverages,89.48,10,939.54,1/6/2019,12:46,Credit card,9.6
C,Male,Fashion accessories,62.12,10,652.26,2/11/2019,16:19,Cash,5.9
B,Female,Food and beverages,48.52,3,152.838,3/5/2019,18:17,Ewallet,4
C,Female,Electronic accessories,75.91,6,478.233,3/9/2019,18:21,Cash,8.7
A,Male,Home and lifestyle,74.67,9,705.6315,1/22/2019,10:55,Ewallet,9.4
C,Female,Electronic accessories,41.65,10,437.325,1/13/2019,17:04,Credit card,5.4
C,Male,Fashion accessories,49.04,9,463.428,1/9/2019,14:20,Credit card,8.6
A,Female,Fashion accessories,20.01,9,189.0945,1/12/2019,15:48,Credit card,5.7
C,Female,Food and beverages,78.31,10,822.255,3/5/2019,16:24,Ewallet,6.6
C,Female,Health and beauty,20.38,5,106.995,1/22/2019,18:56,Cash,6
C,Female,Health and beauty,99.19,6,624.897,1/21/2019,14:42,Credit card,5.5
B,Female,Food and beverages,96.68,3,304.542,1/26/2019,19:56,Ewallet,6.4
C,Male,Food and beverages,19.25,8,161.7,1/23/2019,18:37,Ewallet,6.6
C,Female,Food and beverages,80.36,4,337.512,2/23/2019,18:45,Credit card,8.3
C,Male,Sports and travel,48.91,5,256.7775,3/9/2019,10:17,Cash,6.6
C,Female,Sports and travel,83.06,7,610.491,3/5/2019,14:31,Ewallet,4
C,Male,Fashion accessories,76.52,5,401.73,3/25/2019,10:23,Cash,9.9
A,Male,Food and beverages,49.38,7,362.943,3/27/2019,20:35,Credit card,7.3
A,Male,Sports and travel,42.47,1,44.5935,1/2/2019,16:57,Cash,5.7
B,Female,Health and beauty,76.99,6,485.037,2/27/2019,17:55,Cash,6.1
C,Female,Home and lifestyle,47.38,4,198.996,1/23/2019,10:25,Cash,7.1
C,Female,Sports and travel,44.86,10,471.03,1/26/2019,19:54,Ewallet,8.2
A,Female,Sports and travel,21.98,7,161.553,1/10/2019,16:42,Ewallet,5.1
B,Male,Health and beauty,64.36,9,608.202,3/12/2019,12:09,Credit card,8.6
C,Male,Health and beauty,89.75,1,94.2375,2/6/2019,20:05,Credit card,6.6
A,Male,Electronic accessories,97.16,1,102.018,3/8/2019,20:38,Ewallet,7.2
B,Male,Health and beauty,87.87,10,922.635,3/29/2019,10:25,Ewallet,5.1
C,Female,Electronic accessories,12.45,6,78.435,2/9/2019,13:11,Cash,4.1
A,Male,Food and beverages,52.75,3,166.1625,3/23/2019,10:16,Ewallet,9.3
B,Male,Home and lifestyle,82.7,6,521.01,3/5/2019,18:14,Cash,7.4
C,Male,Fashion accessories,48.71,1,51.1455,3/26/2019,19:20,Cash,4.1
C,Male,Fashion accessories,78.55,9,742.2975,3/1/2019,13:22,Cash,7.2
C,Female,Electronic accessories,23.07,9,218.0115,2/1/2019,11:27,Cash,4.9
A,Male,Food and beverages,58.26,6,367.038,3/28/2019,16:44,Cash,9.9
B,Male,Health and beauty,30.35,7,223.0725,3/19/2019,18:19,Cash,8
A,Male,Electronic accessories,88.67,10,931.035,1/12/2019,14:50,Ewallet,7.3
C,Male,Fashion accessories,27.38,6,172.494,1/5/2019,20:54,Credit card,7.9
A,Male,Sports and travel,62.13,6,391.419,3/22/2019,20:19,Cash,7.4
C,Female,Food and beverages,33.98,9,321.111,3/24/2019,10:43,Cash,4.2
C,Male,Electronic accessories,81.97,10,860.685,3/3/2019,14:30,Cash,9.2
B,Female,Sports and travel,16.49,2,34.629,2/5/2019,11:32,Ewallet,4.6
C,Female,Health and beauty,98.21,3,309.3615,2/5/2019,10:41,Credit card,7.8
B,Female,Fashion accessories,72.84,7,535.374,2/15/2019,12:44,Cash,8.4
A,Male,Home and lifestyle,58.07,9,548.7615,1/19/2019,20:07,Ewallet,4.3
C,Female,Home and lifestyle,80.79,9,763.4655,2/1/2019,20:31,Credit card,9.5
C,Female,Fashion accessories,27.02,3,85.113,3/2/2019,13:01,Credit card,7.1
B,Male,Fashion accessories,21.94,5,115.185,3/5/2019,12:29,Ewallet,5.3
B,Male,Fashion accessories,51.36,1,53.928,1/16/2019,15:26,Ewallet,5.2
A,Female,Food and beverages,10.96,10,115.08,2/2/2019,20:48,Ewallet,6
B,Male,Home and lifestyle,53.44,2,112.224,1/20/2019,20:38,Ewallet,4.1
A,Female,Electronic accessories,99.56,8,836.304,2/14/2019,17:03,Credit card,5.2
C,Male,Sports and travel,57.12,7,419.832,1/12/2019,12:02,Credit card,6.5
B,Male,Sports and travel,99.96,9,944.622,3/9/2019,17:26,Credit card,4.2
C,Male,Home and lifestyle,63.91,8,536.844,3/13/2019,19:52,Credit card,4.6
B,Female,Fashion accessories,56.47,8,474.348,3/9/2019,14:57,Ewallet,7.3
A,Female,Home and lifestyle,93.69,7,688.6215,3/10/2019,18:44,Credit card,4.5
A,Female,Sports and travel,32.25,5,169.3125,1/27/2019,13:26,Cash,9
C,Female,Fashion accessories,31.73,9,299.8485,1/8/2019,16:17,Credit card,5.9
C,Female,Food and beverages,68.54,8,575.736,1/8/2019,15:57,Ewallet,8.5
B,Female,Sports and travel,90.28,9,853.146,2/8/2019,11:15,Ewallet,7.2
B,Female,Fashion accessories,39.62,7,291.207,1/25/2019,13:18,Cash,7.5
A,Female,Sports and travel,92.13,6,580.419,3/6/2019,20:34,Cash,8.3
B,Female,Sports and travel,34.84,4,146.328,2/10/2019,18:36,Cash,7.4
B,Male,Electronic accessories,87.45,6,550.935,2/17/2019,14:40,Credit card,8.8
C,Female,Health and beauty,81.3,6,512.19,3/8/2019,16:43,Ewallet,5.3
C,Male,Fashion accessories,90.22,3,284.193,2/18/2019,19:39,Cash,6.2
A,Female,Electronic accessories,26.31,5,138.1275,1/18/2019,20:59,Credit card,8.8
A,Female,Home and lifestyle,34.42,6,216.846,2/18/2019,15:39,Cash,9.8
B,Male,Sports and travel,51.91,10,545.055,2/16/2019,12:21,Cash,8.2
A,Male,Sports and travel,72.5,8,609,3/16/2019,19:25,Ewallet,9.2
C,Female,Sports and travel,89.8,10,942.9,1/23/2019,13:00,Credit card,5.4
C,Male,Health and beauty,90.5,10,950.25,1/25/2019,13:48,Cash,8.1
C,Female,Health and beauty,68.6,10,720.3,2/5/2019,19:57,Cash,9.1
C,Female,Food and beverages,30.41,1,31.9305,2/22/2019,10:36,Credit card,8.4
A,Female,Home and lifestyle,77.95,6,491.085,1/21/2019,16:37,Ewallet,8
C,Female,Health and beauty,46.26,6,291.438,3/8/2019,17:11,Credit card,9.5
A,Female,Fashion accessories,30.14,10,316.47,2/10/2019,12:28,Ewallet,9.2
C,Male,Health and beauty,66.14,4,277.788,3/19/2019,12:46,Credit card,5.6
B,Male,Home and lifestyle,71.86,8,603.624,3/6/2019,15:07,Credit card,6.2
A,Male,Health and beauty,32.46,8,272.664,3/27/2019,13:48,Credit card,4.9
B,Female,Fashion accessories,91.54,4,384.468,3/23/2019,19:20,Credit card,4.8
C,Male,Sports and travel,34.56,7,254.016,3/11/2019,16:07,Credit card,7.3
A,Male,Fashion accessories,83.24,9,786.618,1/29/2019,11:56,Credit card,7.4
C,Female,Food and beverages,16.48,6,103.824,2/7/2019,18:23,Ewallet,9.9
C,Female,Sports and travel,80.97,8,680.148,1/28/2019,13:05,Cash,9.3
A,Male,Food and beverages,92.29,5,484.5225,2/20/2019,15:55,Credit card,9
B,Male,Electronic accessories,72.17,1,75.7785,1/4/2019,19:40,Cash,6.1
B,Male,Home and lifestyle,50.28,5,263.97,3/7/2019,13:58,Ewallet,9.7
B,Male,Health and beauty,97.22,9,918.729,3/30/2019,14:43,Ewallet,6
B,Male,Sports and travel,93.39,6,588.357,3/27/2019,19:18,Ewallet,10
C,Female,Food and beverages,43.18,8,362.712,1/19/2019,19:39,Credit card,8.3
A,Male,Sports and travel,63.69,1,66.8745,2/25/2019,16:21,Cash,6
A,Male,Food and beverages,45.79,7,336.5565,3/13/2019,19:44,Credit card,7
C,Male,Sports and travel,76.4,2,160.44,1/30/2019,19:42,Ewallet,6.5
B,Male,Food and beverages,39.9,10,418.95,2/20/2019,15:24,Credit card,5.9
B,Male,Health and beauty,42.57,8,357.588,2/25/2019,14:12,Ewallet,5.6
C,Male,Home and lifestyle,95.58,10,1003.59,1/16/2019,13:32,Cash,4.8
A,Male,Fashion accessories,98.98,10,1039.29,2/8/2019,16:20,Credit card,8.7
A,Male,Food and beverages,51.28,6,323.064,1/19/2019,16:31,Cash,6.5
A,Male,Sports and travel,69.52,7,510.972,2/1/2019,15:10,Credit card,8.5
A,Male,Health and beauty,70.01,5,367.5525,1/3/2019,11:36,Ewallet,5.5
B,Male,Food and beverages,80.05,5,420.2625,1/26/2019,12:45,Credit card,9.4
C,Male,Electronic accessories,20.85,8,175.14,3/3/2019,19:17,Cash,6.3
B,Male,Electronic accessories,52.89,6,333.207,1/19/2019,17:34,Credit card,9.8
B,Male,Food and beverages,19.79,8,166.236,1/18/2019,12:04,Ewallet,8.7
A,Male,Home and lifestyle,33.84,9,319.788,3/21/2019,16:21,Ewallet,8.8
A,Male,Food and beverages,22.17,8,186.228,3/3/2019,17:01,Credit card,9.6
C,Female,Fashion accessories,22.51,7,165.4485,2/13/2019,10:50,Credit card,4.8
A,Male,Food and beverages,73.88,6,465.444,3/23/2019,19:16,Ewallet,4.4
C,Male,Health and beauty,86.8,3,273.42,1/28/2019,16:47,Ewallet,9.9
C,Male,Fashion accessories,64.26,7,472.311,2/9/2019,10:00,Cash,5.7
C,Male,Food and beverages,38.47,8,323.148,1/23/2019,11:51,Cash,7.7
A,Male,Sports and travel,15.5,10,162.75,3/23/2019,10:55,Ewallet,8
C,Male,Health and beauty,34.31,8,288.204,1/25/2019,15:00,Ewallet,5.7
A,Female,Sports and travel,12.34,7,90.699,3/4/2019,11:19,Credit card,6.7
B,Male,Food and beverages,18.08,3,56.952,3/5/2019,19:46,Ewallet,8
B,Female,Home and lifestyle,94.49,8,793.716,3/3/2019,19:00,Ewallet,7.5
B,Male,Home and lifestyle,46.47,4,195.174,2/8/2019,10:53,Cash,7
A,Male,Home and lifestyle,74.07,1,77.7735,2/10/2019,12:50,Ewallet,9.9
C,Female,Home and lifestyle,69.81,4,293.202,1/28/2019,20:50,Credit card,5.9
B,Female,Home and lifestyle,77.04,3,242.676,2/11/2019,10:39,Credit card,7.2
B,Female,Fashion accessories,73.52,2,154.392,1/15/2019,13:41,Ewallet,4.6
C,Female,Food and beverages,87.8,9,829.71,3/16/2019,19:08,Cash,9.2
B,Male,Home and lifestyle,25.55,4,107.31,1/26/2019,20:23,Ewallet,5.7
A,Male,Electronic accessories,32.71,5,171.7275,3/19/2019,11:30,Credit card,9.9
C,Female,Fashion accessories,74.29,1,78.0045,1/13/2019,19:30,Cash,5
C,Male,Health and beauty,43.7,2,91.77,3/26/2019,18:03,Cash,4.9
A,Female,Home and lifestyle,25.29,1,26.5545,3/23/2019,10:13,Ewallet,6.1
C,Male,Health and beauty,41.5,4,174.3,3/12/2019,19:58,Credit card,8.2
C,Female,Food and beverages,71.39,5,374.7975,2/17/2019,19:57,Credit card,5.5
C,Female,Sports and travel,19.15,6,120.645,1/29/2019,10:01,Credit card,6.8
B,Female,Electronic accessories,57.49,4,241.458,3/15/2019,11:57,Cash,6.6
C,Male,Electronic accessories,61.41,7,451.3635,1/14/2019,10:02,Cash,9.8
B,Male,Health and beauty,25.9,10,271.95,2/6/2019,14:51,Ewallet,8.7
B,Male,Home and lifestyle,17.77,5,93.2925,2/15/2019,12:42,Credit card,5.4
A,Female,Health and beauty,23.03,9,217.6335,1/3/2019,12:02,Ewallet,7.9
C,Female,Electronic accessories,66.65,9,629.8425,1/4/2019,18:19,Credit card,9.7
C,Female,Home and lifestyle,28.53,10,299.565,3/18/2019,17:38,Ewallet,7.8
B,Female,Fashion accessories,30.37,3,95.6655,3/28/2019,13:41,Ewallet,5.1
B,Female,Electronic accessories,99.73,9,942.4485,3/2/2019,19:42,Credit card,6.5
A,Male,Electronic accessories,26.23,9,247.8735,1/25/2019,20:24,Ewallet,5.9
C,Female,Food and beverages,93.26,9,881.307,1/16/2019,18:08,Cash,8.8
B,Male,Home and lifestyle,92.36,5,484.89,3/20/2019,19:17,Ewallet,4.9
B,Male,Sports and travel,46.42,3,146.223,1/4/2019,13:24,Credit card,4.4
B,Female,Sports and travel,29.61,7,217.6335,3/11/2019,15:53,Cash,6.5
A,Male,Home and lifestyle,18.28,1,19.194,3/22/2019,15:05,Credit card,8.3
B,Female,Sports and travel,24.77,5,130.0425,3/24/2019,18:27,Cash,8.5
A,Female,Electronic accessories,94.64,3,298.116,2/21/2019,16:55,Cash,5.5
B,Male,Fashion accessories,94.87,8,796.908,2/12/2019,12:58,Ewallet,8.7
B,Female,Food and beverages,57.34,3,180.621,3/10/2019,18:59,Credit card,7.9
B,Male,Electronic accessories,45.35,6,285.705,1/31/2019,13:44,Ewallet,6.1
B,Male,Food and beverages,62.08,7,456.288,3/6/2019,13:46,Ewallet,5.4
C,Male,Electronic accessories,11.81,5,62.0025,2/17/2019,18:06,Cash,9.4
C,Female,Fashion accessories,12.54,1,13.167,2/21/2019,12:38,Cash,8.2
A,Male,Food and beverages,43.25,2,90.825,3/20/2019,15:56,Cash,6.2
C,Female,Sports and travel,87.16,2,183.036,1/11/2019,14:29,Credit card,9.7
B,Male,Health and beauty,69.37,9,655.5465,1/26/2019,19:14,Ewallet,4
C,Male,Electronic accessories,37.06,4,155.652,1/31/2019,16:24,Ewallet,9.7
B,Female,Electronic accessories,90.7,6,571.41,2/26/2019,10:52,Cash,5.3
A,Female,Home and lifestyle,63.42,8,532.728,3/11/2019,12:55,Ewallet,7.4
B,Female,Fashion accessories,81.37,2,170.877,1/26/2019,19:28,Cash,6.5
B,Female,Electronic accessories,10.59,3,33.3585,3/12/2019,13:52,Credit card,8.7
B,Female,Health and beauty,84.09,9,794.6505,2/11/2019,10:54,Cash,8
B,Male,Fashion accessories,73.82,4,310.044,2/21/2019,18:31,Cash,6.7
A,Male,Health and beauty,51.94,10,545.37,3/9/2019,18:24,Ewallet,6.5
A,Female,Sports and travel,93.14,2,195.594,1/20/2019,18:09,Ewallet,4.1
C,Male,Health and beauty,17.41,5,91.4025,1/28/2019,15:16,Credit card,4.9
C,Female,Fashion accessories,44.22,5,232.155,3/5/2019,17:07,Credit card,8.6
B,Female,Electronic accessories,13.22,5,69.405,3/2/2019,19:26,Cash,4.3
A,Male,Fashion accessories,89.69,1,94.1745,1/11/2019,11:20,Ewallet,4.9
A,Male,Food and beverages,24.94,9,235.683,1/11/2019,16:49,Credit card,5.6
A,Male,Health and beauty,59.77,2,125.517,3/11/2019,12:01,Credit card,5.8
C,Male,Fashion accessories,93.2,2,195.72,2/28/2019,18:37,Credit card,6
A,Male,Home and lifestyle,62.65,4,263.13,1/5/2019,11:25,Cash,4.2
B,Male,Home and lifestyle,93.87,8,788.508,2/2/2019,18:42,Credit card,8.3
A,Male,Home and lifestyle,47.59,8,399.756,1/1/2019,14:47,Cash,5.7
B,Female,Electronic accessories,81.4,3,256.41,2/9/2019,19:43,Cash,4.8
A,Male,Fashion accessories,17.94,5,94.185,1/23/2019,14:04,Ewallet,6.8
A,Male,Electronic accessories,77.72,4,326.424,1/7/2019,16:11,Credit card,8.8
B,Male,Food and beverages,73.06,7,536.991,1/14/2019,19:06,Credit card,4.2
B,Male,Food and beverages,46.55,9,439.8975,2/2/2019,15:34,Ewallet,6.4
C,Male,Fashion accessories,35.19,10,369.495,3/17/2019,19:06,Credit card,8.4
C,Female,Sports and travel,14.39,2,30.219,3/2/2019,19:44,Credit card,7.2
A,Male,Home and lifestyle,23.75,4,99.75,3/16/2019,11:22,Cash,5.2
A,Male,Home and lifestyle,58.9,8,494.76,1/6/2019,11:23,Cash,8.9
B,Male,Fashion accessories,32.62,4,137.004,1/29/2019,14:12,Cash,9
A,Male,Electronic accessories,66.35,1,69.6675,1/31/2019,10:46,Credit card,9.7
A,Male,Home and lifestyle,25.91,6,163.233,2/5/2019,10:16,Ewallet,8.7
A,Male,Electronic accessories,32.25,4,135.45,2/13/2019,12:38,Ewallet,6.5
C,Male,Electronic accessories,65.94,4,276.948,2/7/2019,13:05,Credit card,6.9
A,Female,Electronic accessories,75.06,9,709.317,3/19/2019,13:25,Ewallet,6.2
C,Female,Fashion accessories,16.45,4,69.09,3/7/2019,14:53,Ewallet,5.6
B,Female,Fashion accessories,38.3,4,160.86,3/13/2019,19:22,Cash,5.7
A,Female,Sports and travel,22.24,10,233.52,2/9/2019,11:00,Cash,4.2
B,Male,Sports and travel,54.45,1,57.1725,2/26/2019,19:24,Ewallet,7.9
A,Female,Sports and travel,98.4,7,723.24,3/12/2019,12:43,Credit card,8.7
C,Male,Home and lifestyle,35.47,4,148.974,3/14/2019,17:22,Credit card,6.9
B,Female,Food and beverages,74.6,10,783.3,1/8/2019,20:55,Cash,9.5
A,Male,Home and lifestyle,70.74,4,297.108,1/5/2019,16:05,Credit card,4.4
A,Female,Home and lifestyle,35.54,10,373.17,1/4/2019,13:34,Ewallet,7
B,Female,Sports and travel,67.43,5,354.0075,3/6/2019,18:13,Ewallet,6.3
C,Female,Health and beauty,21.12,2,44.352,1/3/2019,19:17,Cash,9.7
A,Female,Home and lifestyle,21.54,9,203.553,1/7/2019,11:44,Credit card,8.8
A,Female,Home and lifestyle,12.03,2,25.263,1/27/2019,15:51,Cash,5.1
B,Female,Health and beauty,99.71,6,628.173,2/26/2019,16:52,Ewallet,7.9
B,Male,Fashion accessories,47.97,7,352.5795,1/7/2019,20:52,Cash,6.2
C,Female,Home and lifestyle,21.82,10,229.11,1/7/2019,17:36,Cash,7.1
C,Female,Fashion accessories,95.42,4,400.764,2/2/2019,13:23,Ewallet,6.4
C,Male,Fashion accessories,70.99,10,745.395,3/20/2019,16:28,Cash,5.7
A,Male,Sports and travel,44.02,10,462.21,3/20/2019,19:57,Credit card,9.6
A,Female,Home and lifestyle,69.96,8,587.664,2/15/2019,17:01,Credit card,6.4
C,Male,Home and lifestyle,37,1,38.85,3/6/2019,13:29,Credit card,7.9
A,Female,Sports and travel,15.34,1,16.107,1/6/2019,11:09,Cash,6.5
A,Male,Health and beauty,99.83,6,628.929,3/4/2019,15:02,Ewallet,8.5
A,Female,Health and beauty,47.67,4,200.214,3/12/2019,14:21,Cash,9.1
B,Male,Health and beauty,66.68,5,350.07,2/20/2019,18:01,Cash,7.6
C,Male,Home and lifestyle,74.86,1,78.603,3/24/2019,14:49,Cash,6.9
C,Female,Sports and travel,23.75,9,224.4375,1/31/2019,12:02,Cash,9.5
B,Female,Food and beverages,48.51,7,356.5485,1/25/2019,13:30,Credit card,5.2
A,Female,Home and lifestyle,94.88,7,697.368,2/3/2019,14:38,Cash,4.2
B,Male,Electronic accessories,40.3,10,423.15,1/24/2019,17:37,Credit card,7
C,Male,Electronic accessories,27.85,7,204.6975,3/14/2019,17:20,Ewallet,6
A,Female,Electronic accessories,62.48,1,65.604,2/18/2019,20:29,Cash,4.7
A,Female,Food and beverages,36.36,2,76.356,1/21/2019,10:00,Cash,7.1
B,Male,Health and beauty,18.11,10,190.155,3/13/2019,11:46,Ewallet,5.9
C,Female,Electronic accessories,51.92,5,272.58,3/3/2019,13:42,Cash,7.5
C,Male,Electronic accessories,28.84,4,121.128,3/29/2019,14:44,Cash,6.4
A,Male,Home and lifestyle,78.38,6,493.794,1/10/2019,14:16,Ewallet,5.8
A,Male,Home and lifestyle,60.01,4,252.042,1/25/2019,15:54,Cash,4.5
C,Female,Home and lifestyle,88.61,1,93.0405,1/19/2019,10:21,Cash,7.7
C,Male,Fashion accessories,99.82,2,209.622,1/2/2019,18:09,Credit card,6.7
B,Male,Health and beauty,39.01,1,40.9605,3/12/2019,16:46,Credit card,4.7
C,Male,Food and beverages,48.61,1,51.0405,2/25/2019,15:31,Cash,4.4
A,Female,Electronic accessories,51.19,4,214.998,3/18/2019,17:15,Credit card,4.7
B,Female,Electronic accessories,14.96,8,125.664,2/23/2019,12:29,Cash,8.6
A,Male,Electronic accessories,72.2,7,530.67,3/26/2019,20:14,Ewallet,4.3
A,Female,Sports and travel,40.23,7,295.6905,3/30/2019,13:22,Cash,9.6
A,Female,Home and lifestyle,88.79,8,745.836,2/17/2019,17:09,Cash,4.1
A,Female,Electronic accessories,26.48,3,83.412,3/21/2019,10:40,Ewallet,4.7
A,Female,Fashion accessories,81.91,2,172.011,3/5/2019,17:43,Cash,7.8
B,Male,Sports and travel,79.93,6,503.559,1/31/2019,14:04,Cash,5.5
C,Male,Fashion accessories,69.33,2,145.593,2/5/2019,19:05,Ewallet,9.7
A,Female,Food and beverages,14.23,5,74.7075,2/1/2019,10:08,Credit card,4.4
A,Female,Health and beauty,15.55,9,146.9475,3/7/2019,13:12,Cash,5
C,Female,Electronic accessories,78.13,10,820.365,2/10/2019,20:51,Cash,4.4
C,Male,Food and beverages,99.37,2,208.677,2/14/2019,17:29,Cash,5.2
C,Female,Food and beverages,21.08,3,66.402,2/9/2019,10:25,Cash,7.3
C,Male,Electronic accessories,74.79,5,392.6475,1/10/2019,11:34,Cash,4.9
C,Female,Health and beauty,29.67,7,218.0745,3/11/2019,18:58,Credit card,8.1
C,Male,Health and beauty,44.07,4,185.094,2/18/2019,16:28,Ewallet,8.4
C,Female,Food and beverages,22.93,9,216.6885,2/26/2019,20:26,Cash,5.5
C,Female,Health and beauty,39.42,1,41.391,1/18/2019,15:08,Cash,8.4
A,Male,Health and beauty,15.26,6,96.138,2/15/2019,18:03,Ewallet,9.8
A,Female,Fashion accessories,61.77,5,324.2925,3/8/2019,13:21,Cash,6.7
A,Male,Home and lifestyle,21.52,6,135.576,1/17/2019,12:48,Credit card,9.4
